id,name,species,gender,height,mass,hair_color,eye_color,skin_color,birth_year,homeworld,year_died,description,birth_year_num,is_human,bmi,cluster_label
1,zen fisto,ewok,female,0.93,20.3,white,brown,brown,62.1BBY,naboo,85.2,A Ewok Female from Naboo.,62.1,Non-Human,234709.2149381431,0
2,rex talon,human,female,1.8,57.3,blond,grey,dark,unknown,rodia,,A Human Female from Rodia.,,Human,176851.8518518518,0
3,qui dark,gungan,male,1.95,93.5,,yellow,brown,171.6ABY,rodia,,A Gungan Male from Rodia.,-171.6,Non-Human,245890.86127547667,2
4,zen kenobi,human,male,,86.2,blond,green,light,291.7BBY,crait,363.9,A Human Male from Crait.,291.7,Human,,0
5,toro amidala,hutt,hermaphrodite,3.51,1467.0,,yellow,tan,160.5BBY,takodana,217.4,A Hutt Hermaphrodite from Takodana.,160.5,Non-Human,1190737.0881729857,1
6,bail rex,human,male,1.96,95.4,auburn,grey,tan,291.4BBY,crait,369.5,A Human Male from Crait.,291.4,Human,248334.02748854648,0
7,dax koon,rodian,female,1.77,62.0,,black,blue-green,218.2ABY,alderaan,250.7,A Rodian Female from Alderaan.,-218.2,Non-Human,197899.7095342973,2
8,poe cloud,mon calamari,male,1.75,58.7,,blue,blue,477.8BBY,hoth,524.1,A Mon Calamari Male from Hoth.,477.8,Non-Human,191673.4693877551,0
9,sora organa,ewok,female,1.07,10.6,white,black,brown,391.8ABY,jakku,,A Ewok Female from Jakku.,-391.8,Non-Human,92584.50519696041,2
10,jyn rex,mon calamari,female,1.86,76.7,,orange,salmon,408.7BBY,geonosis,,A Mon Calamari Female from Geonosis.,408.7,Non-Human,221701.9308590588,0
12,cass sun,human,male,1.61,64.3,grey,hazel,light,177.3BBY,coruscant,,A Human Male from Coruscant.,177.3,Human,248061.4173835886,0
13,chir star,jawa,female,0.83,54.6,,yellow,unknown,271.3BBY,jakku,,A Jawa Female from Jakku.,271.3,Non-Human,792567.8618086806,0
14,zen wind,wookiee,female,2.14,143.1,brown,blue,brown,273.3BBY,bespin,305.9,A Wookiee Female from Bespin.,273.3,Non-Human,312472.7050397414,0
15,saw sun,ewok,female,1.01,26.6,white,brown,brown,421.0BBY,rodia,,A Ewok Female from Rodia.,421.0,Non-Human,260758.749142241,0
16,luma amidala,human,male,1.49,66.8,brown,hazel,pale,323.1ABY,naboo,,A Human Male from Naboo.,-323.1,Human,300887.34741678304,2
17,sora koon,human,female,1.9,89.3,black,brown,fair,310.3BBY,dagobah,346.0,A Human Female from Dagobah.,310.3,Human,247368.42105263157,0
18,echo erso,human,female,1.97,99.3,auburn,green,pale,283.1BBY,rodia,,A Human Female from Rodia.,283.1,Human,255868.48411450954,0
19,kit wind,mon calamari,male,1.84,,,blue,brown,213.3BBY,bespin,,A Mon Calamari Male from Bespin.,213.3,Non-Human,,0
20,chir born,gungan,female,1.95,71.5,,orange,orange,374.9BBY,jakku,438.5,A Gungan Female from Jakku.,374.9,Non-Human,188034.18803418803,0
21,jyn vader,hutt,hermaphrodite,4.05,830.1,,yellow,green,414.3BBY,hoth,,A Hutt Hermaphrodite from Hoth.,414.3,Non-Human,506081.39003200736,1
22,ahs rex,human,male,1.9,88.5,auburn,hazel,pale,298.5BBY,hoth,,A Human Male from Hoth.,298.5,Human,245152.35457063714,0
